Ref Des;Mid X (mm);Mid Y (mm);Rotation;LCSC Part Number
BOOT_BUTTON,23.85,108.11,180.00,BUTTON_CUSYOMV1,MYBUTTON;;;;
C1,153.17,6.94,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C10,68.93,107.32,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C10_SUPERCAP,98.84,51.78,90.00,CPH3225A,CAPCP3225X100N;;;;
C1_BAT,114.49,38.89,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C1_BAT1,134.79,26.44,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C1_BAT2,117.80,25.73,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C2,150.03,6.93,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C2_BAT,131.22,42.25,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
"C3,128.39,27.66,90.00,""100uF TANT"",RCL_CT3528";;;;
C4,92.20,40.22,270.00,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C4_USB,142.43,49.02,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C5,54.00,107.51,90.00,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C5_USB,156.06,41.66,180.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C6,28.15,107.39,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C7,82.13,32.00,0.00,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C8,87.53,48.03,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
C9,6.68,99.47,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
CHANGE_BUTTON,63.95,108.11,180.00,BUTTON_CUSYOMV1,MYBUTTON;;;;
CHG_LED,121.37,40.83,90.00,,ADAFRUIT_CHIP-LED0603;;;;
C_DELAY,51.18,93.75,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
D1,146.84,48.79,180.00,USBLC6-2SC6Y,SOT95P280X145-6N;;;;
D10,49.32,23.61,90.00,PGB1010603MR,DIOC1608X36N;;;;
D11,45.96,23.61,90.00,PGB1010603MR,DIOC1608X36N;;;;
D12,42.34,23.56,90.00,PGB1010603MR,DIOC1608X36N;;;;
D2,115.97,31.88,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0;;;;
D3,87.50,41.27,0.00,MBR0530,SOD3716X135N;;;;
D4,89.61,35.61,0.00,MBR0530,SOD3716X135N;;;;
D5,72.80,46.52,90.00,MBR0530,SOD3716X135N;;;;
D6,71.07,32.17,0.00,PGB1010603MR,DIOC1608X36N;;;;
D7,85.60,65.82,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0;;;;
D8,13.76,98.16,0.00,PGB1010603MR,DIOC1608X36N;;;;
D9,39.31,31.93,90.00,PGB1010603MR,DIOC1608X36N;;;;
EPD_C1,92.08,19.82,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
EPD_C10,77.58,19.70,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;
EPD_C11,71.99,19.54,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;
EPD_C12,73.99,19.49,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;
EPD_C2,90.36,19.92,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;
EPD_C5\,88.54,19.90,90.00,0.1uF/50V,EAGLE-LTSPICE_C0402;;;;
EPD_C6,86.72,19.79,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;
EPD_C7,83.60,19.71,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;
EPD_C8,81.52,19.82,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;
EPD_C9,79.57,19.77,90.00,1uF/50V,EAGLE-LTSPICE_C0402;;;;
IC1,46.64,94.00,0.00,BD5229G-TR,SOT95P280X125-5N;;;;
